code,profit,factors,regime,entry_day,exit_day,entry,exit
7203.T,-0.0420564177628443,"{'score': 99.29987641667195, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 96.0}",BULL,295.0,303.0,757.5215454101562,725.6629028320312
8306.T,-0.0199996998280401,"{'score': 97.34197901030521, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 65.0, 'order_score': 82.0}",BEAR,316.0,327.0,821.46923828125,805.0401000976562
6501.T,-0.0232285180502289,"{'score': 99.34642697527593, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 97.0}",SIDE,328.0,341.0,619.3873901367188,604.9999389648438
7203.T,-0.0044708679379332,"{'score': 54.515660074478006, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 95.0}",BULL,341.0,353.0,798.613525390625,795.0430297851562
4063.T,-0.0099171905954893,"{'score': 52.60786965026658, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 82.0}",BEAR,316.0,362.0,866.33544921875,857.7438354492188
4063.T,-0.0288925597062146,"{'score': 72.58115355290182, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 95.0}",BULL,245.0,248.0,859.4378662109375,834.6065063476562
8035.T,-0.0792209231294197,"{'score': 53.30387654771435, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 94.0}",BULL,241.0,250.0,1637.009765625,1507.3243408203125
7203.T,-0.0103445772529176,"{'score': 53.974976471468835, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 85.0, 'order_score': 92.0}",BULL,245.0,251.0,684.3651123046875,677.28564453125
2914.T,-0.0601093046218722,"{'score': 90.51623071058036, 'institution_hold': True, 'flow_score': 90.0, 'pressure_score': 90.0, 'order_score': 100.0}",BEAR,245.0,259.0,844.6841430664062,793.9107666015625
7203.T,-0.0376436925385408,"{'score': 72.80844299338538, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 100.0, 'order_score': 96.0}",SIDE,259.0,271.0,720.9435424804688,693.8045654296875
