code,factors,profit,regime
8306.T,"{'market': 100.0, 'tech': 86.35, 'news': 0.0, 'inst': 75.0, 'future': 43.42460026433142}",0,BULL
6758.T,"{'market': 5.944110780723632, 'tech': 28.27, 'news': 0.0, 'inst': 50.0, 'future': 13.147035935745434}",0,BEAR
7203.T,"{'market': 69.75956847806854, 'tech': 43.95, 'news': 0.0, 'inst': 50.0, 'future': 39.198561593561834}",0,SIDE
6758.T,"{'market': 25.939334428952122, 'tech': 28.48, 'news': 0.0, 'inst': 50.0, 'future': 13.131114763173748}",0,BEAR
8306.T,"{'market': 100.0, 'tech': 96.79, 'news': 0.0, 'inst': 85.0, 'future': 46.765411848539955}",0,BULL
9984.T,"{'market': 79.52251338576829, 'tech': 44.94, 'news': 0.0, 'inst': 50.0, 'future': 45.07504461922762}",0,SIDE
9432.T,"{'market': 70.08668869907837, 'tech': 84.25, 'news': 0.0, 'inst': 50.0, 'future': 40.288962330261235}",0,SIDE
8306.T,"{'market': 100.0, 'tech': 87.16, 'news': 0.0, 'inst': 75.0, 'future': 44.7114771968528}",0,BULL
9984.T,"{'market': 79.7004504373149, 'tech': 44.92, 'news': 0.0, 'inst': 50.0, 'future': 45.668168124382994}",0,SIDE
6758.T,"{'market': 38.23472143379056, 'tech': 37.8, 'news': 0.0, 'inst': 60.0, 'future': 34.1157381126352}",0,BEAR
7203.T,"{'market': 69.98853772151355, 'tech': 43.97, 'news': 0.0, 'inst': 50.0, 'future': 39.96179240504518}",0,SIDE
9432.T,"{'market': 87.23222943082529, 'tech': 43.29, 'news': 0.0, 'inst': 50.0, 'future': 39.10743143608426}",0,BULL
9984.T,"{'market': 80.36184184813222, 'tech': 45.04, 'news': 0.0, 'inst': 50.0, 'future': 47.87280616044074}",0,SIDE
7203.T,"{'market': 69.90923795805593, 'tech': 43.86, 'news': 0.0, 'inst': 50.0, 'future': 39.69745986018643}",0,SIDE
9432.T,"{'market': 87.51178212669205, 'tech': 87.32, 'news': 0.0, 'inst': 60.0, 'future': 40.03927375564016}",0,BULL
6758.T,"{'market': 38.23453615811602, 'tech': 34.97, 'news': 0.0, 'inst': 60.0, 'future': 34.11512052705341}",0,BEAR
8306.T,"{'market': 97.1394485204515, 'tech': 56.32, 'news': 0.0, 'inst': 50.0, 'future': 45.464828401505}",0,BULL
7203.T,"{'market': 69.73472421927332, 'tech': 84.8, 'news': 0.0, 'inst': 50.0, 'future': 39.11574739757771}",0,SIDE
9984.T,"{'market': 79.86593682106525, 'tech': 44.96, 'news': 0.0, 'inst': 50.0, 'future': 46.21978940355084}",0,SIDE
9432.T,"{'market': 97.18839300125889, 'tech': 100.0, 'news': 0.0, 'inst': 100.0, 'future': 38.961310004196285}",0,BULL
6758.T,"{'market': 38.530355402218916, 'tech': 76.2, 'news': 0.0, 'inst': 50.0, 'future': 35.101184674063056}",0,BEAR
8306.T,"{'market': 97.37088699813026, 'tech': 46.58, 'news': 0.0, 'inst': 50.0, 'future': 46.23628999376752}",0,BULL
7203.T,"{'market': 87.70677334821563, 'tech': 87.94, 'news': 0.0, 'inst': 60.0, 'future': 40.68924449405211}",0,BULL
9432.T,"{'market': 87.17604446646905, 'tech': 43.78, 'news': 0.0, 'inst': 60.0, 'future': 38.9201482215635}",0,BULL
