Time,Code,Price,NewsScore
2026-04-19 01:03:07.928489,3191.T,2216.0,0
2026-04-19 01:03:11.572669,3691.T,1571.0,0
2026-04-19 01:03:15.274264,2884.T,739.0,0
2026-04-19 01:03:19.026944,1914.T,716.0,0
2026-04-19 01:03:22.622909,2003.T,1833.0,0
2026-04-19 01:04:26.480509,2158.T,856.0,0
2026-04-19 01:04:30.212463,2411.T,493.0,0
2026-04-19 01:04:33.950040,3848.T,973.0,0
2026-04-19 01:04:37.678455,1992.T,2795.0,0
2026-04-19 01:04:41.352721,2134.T,33.0,0
2026-04-19 01:04:45.291867,3191.T,2216.0,0
2026-04-19 01:04:48.989925,3691.T,1571.0,0
2026-04-19 01:04:52.640819,2884.T,739.0,0
2026-04-19 01:04:56.378663,1914.T,716.0,0
2026-04-19 01:05:00.122136,2003.T,1833.0,0
2026-04-19 01:06:03.908703,2158.T,856.0,0
2026-04-19 01:06:07.646070,2411.T,493.0,0
2026-04-19 01:06:11.267567,3848.T,973.0,0
2026-04-19 01:06:14.893113,1992.T,2795.0,0
2026-04-19 01:06:18.536624,2134.T,33.0,0
2026-04-19 01:06:22.241920,3191.T,2216.0,0
2026-04-19 01:06:25.856719,3691.T,1571.0,0
2026-04-19 01:06:29.626730,2884.T,739.0,0
2026-04-19 01:06:33.364255,1914.T,716.0,0
2026-04-19 01:06:37.084604,2003.T,1833.0,0
2026-04-19 01:07:40.861337,2158.T,856.0,0
2026-04-19 01:07:44.612504,2411.T,493.0,0
2026-04-19 01:07:48.289666,3848.T,973.0,0
2026-04-19 01:07:51.920880,1992.T,2795.0,0
2026-04-19 01:07:55.557927,2134.T,33.0,0
2026-04-19 01:07:59.188530,3191.T,2216.0,0
2026-04-19 01:08:02.863618,3691.T,1571.0,0
2026-04-19 01:08:06.555476,2884.T,739.0,0
2026-04-19 01:08:10.303736,1914.T,716.0,0
2026-04-19 01:08:13.950131,2003.T,1833.0,0
2026-04-19 01:09:17.667158,2158.T,856.0,0
2026-04-19 01:09:21.294171,2411.T,493.0,0
2026-04-19 01:09:25.064929,3848.T,973.0,0
2026-04-19 01:09:28.678608,1992.T,2795.0,0
2026-04-19 01:09:32.306517,2134.T,33.0,0
2026-04-19 01:09:35.986463,3191.T,2216.0,0
2026-04-19 01:09:39.641647,3691.T,1571.0,0
2026-04-19 01:09:43.303269,2884.T,739.0,0
2026-04-19 01:09:47.001553,1914.T,716.0,0
